Country Name,Country Code,Series Name,Series Code,1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Afghanistan,AFG,Population growth (annual %),SP.POP.GROW,-1.36570774423119,2.89433470700097,2.58769693348811,-0.608560872677256,-1.21019039755447,0.586318311683292,2.75187729340688,0.202433955671883,0.469880406765633,11.5225244151801,14.9644548746872,9.86426206628341,6.04653555233991,4.1030220499493,3.9106052193522,3.88293060489748,4.07787948472197,1.4438030241194,0.742516834396313,6.44932147797304,7.54101896480183,3.93317768847308,3.57650800354462,4.13967803534352,1.79319572747206,2.00233326232255,3.56128837446668,2.89490410370988,3.68950830230738,4.07762772858795,3.46678830410982,3.65757606530364,3.12134122890873,2.58154939895659,2.86649214750073,2.88520797304849,2.90852909268743,3.13474690779163,2.85135765449931,2.53449831666733,2.66562820222961
Afghanistan,AFG,"Population, total",SP.POP.TOTL,9951449,10243686,10512221,10448442,10322758,10383460,10673168,10694796,10745167,12057433,14003760,15455555,16418912,17106595,17788819,18493132,19262847,19542982,19688632,21000256,22645130,23553551,24411191,25442944,25903301,26427199,27385307,28189672,29249157,30466479,31541209,32716210,33753499,34636207,35643418,36686784,37769499,38972230,40099462,41128771,42239854
Afghanistan,AFG,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Scientific and technical journal articles,IP.JRN.ARTC.SC,..,..,..,..,..,..,..,..,..,..,..,..,..,0.13,0,2.73,0.67,4,1,5.5,7.34,6.75,9.15,14.86,13.23,12.5,26.14,27.68,41.87,34.65,27.24,35.01,21.19,60.99,73.28,87.7,133.29,119.74,..,..,..
Afghanistan,AFG,Urban population,SP.URB.TOTL,1766084,1881253,1997007,2052805,2096965,2180319,2250758,2264837,2285067,2574865,3002966,3328199,3550426,3714526,3878852,4049071,4235130,4314700,4364773,4674867,5061866,5299549,5542073,5828215,5987030,6162823,6443215,6691382,7004588,7360701,7687539,8043935,8371880,8665979,8999963,9353296,9727157,10142913,10551772,10946834,11376460
Afghanistan,AFG,Value lost due to electrical outages (% of sales for affected firms),IC.FRM.OUTG.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.5,..,..,..,..,..,9.6,..,..,..,..,..,..,..,..,..
Algeria,DZA,Gini index,SI.POV.GINI,..,..,..,..,..,40.2,..,..,..,..,..,..,35.3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,27.6,..,..,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,Adolescents out of school (% of lower secondary school age),SE.SEC.UNER.LO.ZS,..,39.0181884765625,..,..,..,..,..,..,..,..,..,..,24.5232906341553,25.114330291748,21.9286594390869,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.75701999664307
Algeria,DZA,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,..,..,..
Algeria,DZA,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,"Compulsory education, duration (years)",SE.COM.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Algeria,DZA,Control of Corruption: Estimate,CC.EST,..,..,..,..,..,..,..,..,..,..,..,..,..,-0.566740930080414,..,-0.916649281978607,..,-0.987298190593719,..,-0.928754985332489,-0.715244472026825,-0.699272692203522,-0.466420471668243,-0.564962565898895,-0.592309474945068,-0.633444845676422,-0.614938259124756,-0.552147269248962,-0.572699666023254,-0.521544516086578,-0.472622781991959,-0.61265641450882,-0.639073312282562,-0.67341673374176,-0.598509311676025,-0.658660113811493,-0.655895113945007,-0.66646021604538,-0.635657608509064,-0.637929856777191,..
Algeria,DZA,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,425.971990963592,448.920771840832,472.780233774102,489.936590554384,459.041534673323,485.871849783719,526.687812659367,536.600058452687,537.921906427685,565.643360627401,553.623563833247,556.430420639921,565.418483067398,576.063855075762,580.912674437071,624.033656781088,658.767063940344,689.23675778168,714.785126174702,736.13355840638,791.523977049704,808.608108240291,895.842391939239,867.741306436234,899.104153278558,951.703450824644,869.700188120611,1020.07053479853,1126.95701820467,1242.0638947404,1283.61043315444,1368.62151887474,..,..,..,..,..,..,..,..,..
Algeria,DZA,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..
Algeria,DZA,Expenditure on primary education (% of government expenditure on education),SE.XPD.PRIM.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,Expenditure on secondary education (% of government expenditure on education),SE.XPD.SECO.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,Expenditure on tertiary education (% of government expenditure on education),SE.XPD.TERT.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,26.97261,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,GDP (constant 2015 US$),NY.GDP.MKTP.KD,80442600430.4894,84947383262.7469,88090434111.5653,88442796731.3778,87823699342.1405,86945457526.6161,90771059536.331,91497228539.25,90399261261.3893,92026450045.4836,90093893897.2523,89283051957.9535,92675803280.9503,96475509797.8939,97536740346.7102,102511117624.462,105791474981.317,109811551032.014,113105897561.985,119213616030.623,126962501072.824,132675813621.228,139840307556.303,143895676475.62,148356442446.051,152065353507.158,153890137749.297,161276864361.726,166115170292.63,170101934378.987,174524584672.944,181680092645.155,187493855609.345,194806115977.968,197728207717.835,200496402626.147,202300870249.603,192185826737.123,199488888153.133,206670488126.993,215143978140.214
Algeria,DZA,GDP (current US$),NY.GDP.MKTP.CD,48801369800.3675,53698548293.0745,57937868670.1937,63692007897.3834,66745818375.493,59089396860.4342,55634721572.7343,62048507531.3357,45715676428.2766,48003133346.9957,49945584452.6506,42543176828.9237,41764291671.7711,46941554225.3581,48177612042.1507,48187781984.4881,48640671734.9711,54790398570.3282,59413400923.6364,61516103406.1688,73482264190.9245,91913680985.1708,107046618669.707,123084258693.01,142482739809.849,180383848331.135,150317292079.359,177785053939.531,218331946925.304,227143746075.934,229701430292.157,238942664192.59,187493855609.345,180763839522.151,189880896903.073,194554483655.528,193459662090.677,164873415325.201,186265418570.697,225560256621.757,239899491127.742
Algeria,DZA,Individuals using the Internet (% of population),IT.NET.USER.ZS,..,..,..,..,..,..,..,0,0,0,0,0.000360674,0.001768954,0.001738533,0.010268463,0.020238555,0.199523843,0.491705679,0.646114017,1.59164126,2.195359731,4.634475088,5.843942092,7.375984956,9.451190626,10.18,11.23,12.5,14.9,18.2,22.5,29.5,38.2,42.94552688,47.69105515,49.03846808,58.97757455,63.94999611,70.77,..,..
Algeria,DZA,"International tourism, number of arrivals",ST.INT.ARVL,..,..,..,..,..,..,..,..,..,..,..,..,520000,605000,635000,678000,749000,866000,901000,988000,1166000,1234000,1443000,1638000,1743000,1772000,1912000,2070000,2395000,2634000,2733000,2301000,1710000,2039000,2451000,2657000,2371000,591000,..,..,..
Algeria,DZA,"Labor force, total",SL.TLF.TOTL.IN,..,..,..,..,..,..,..,..,6633340,6870956,7149879,7429272,7681165,7968414,8233015,8477091,8701391,8926622,9145785,9355943,9556009,9747177,9916026,10077549,10244513,10402784,10551825,10832192,11067848,11293832,11793700,11279335,11709257,11918706,12069182,12225526,12402025,11881326,12202063,13023244,13425064
Algeria,DZA,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,1.95121325165132,1.75512400703414,1.64370689684736,1.78721366645198,1.85637627675836,1.74969874927024,1.54012377856337,1.46107058594342,1.21083405924608,2.14013212989672,2.50563157717782,3.14643001210165,2.93502710736712,3.0940883958553,3.63740346813324,3.96567378793071,3.75507998270644,3.43338563505363,3.82069546333074,3.70082935899902,3.25121089347184,3.2838845233139,2.83417835011465,2.6438075477202,2.92332102697669,3.02474714090386,3.84851369829344,3.51801260882618,4.32570635861069,4.46107862007699,4.84450891704059,5.54848333584853,6.27024285623508,6.38492898301865,5.92438332688534,5.48358870056161,5.99969025937654,6.69246839735744,5.58544666775166,4.77943828648395,..
Algeria,DZA,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,0,0,0,0,0,0,0,0.001841832,0.018294243,0.017874031,0.017478039,0.004825141,0.016472352,0.040366216,0.059031014,0.060151043,0.237262911,0.279451045,0.320502702,1.423710128,4.51376415,15.0181054,41.45244865,62.80216467,81.10540402,78.19436226,92.99292417,91.42082361,97.46161442,100.7169538,103.9905106,111.7079111,109.3176407,116.6140394,111.4475314,112.4675177,106.3696091,104.842178,106.4235366,109.1653573,..
Algeria,DZA,"Persistence to last grade of primary, total (% of cohort)",SE.PRM.PRSL.ZS,83.6768798828125,86.7524108886719,93.4094390869141,90.3184967041016,90.7889709472656,88.2722702026367,89.8335494995117,90.1931610107422,90.2505874633789,88.6117172241211,90.1267318725586,88.1504821777344,89.8580093383789,90.3833236694336,..,92.0394592285156,91.455810546875,94.5637283325195,93.4847412109375,94.5169372558594,93.4622421264648,93.2031326293945,90.9196395874023,92.0112533569336,92.9523315429688,..,95.0389709472656,94.5525588989258,92.7675170898438,96.2097930908203,93.4130020141602,93.8004531860352,93.5985107421875,94.8499526977539,96.265007019043,91.5572509765625,..,88.9655227661133,92.6793823242188,..,..
Algeria,DZA,"Population ages 0-14, total",SP.POP.0014.TO,9438480,9697367,9956659,10204818,10426960,10621339,10792000,10934367,11061558,11186606,11291154,11358252,11361220,11245512,11037028,10823516,10619510,10413266,10210933,10018934,9850680,9718834,9624314,9573291,9572368,9622867,9726992,9886094,10100229,10370488,10700395,11074025,11468788,11874029,12279473,12665338,13013432,13316668,13567972,13759806,13886736
Algeria,DZA,"Population ages 15-64, total",SP.POP.1564.TO,10615287,11049456,11508322,11985995,12442958,12880345,13329909,13789483,14250380,14710931,15182962,15668783,16176902,16727703,17309467,17887221,18466896,19055389,19637295,20206328,20759991,21301420,21799276,22287052,22796543,23293706,23777487,24238179,24667114,25063165,25412579,25723551,26021777,26311329,26594763,26884238,27191521,27520307,27878915,28275097,28705840
Algeria,DZA,"Population ages 65 and above, total",SP.POP.65UP.TO,628345,646706,667925,691740,716183,741334,767598,794224,821967,850766,880211,909972,939900,1011420,1129536,1213931,1259677,1305966,1352757,1399434,1445212,1489931,1533099,1574737,1614916,1653019,1691558,1732072,1776198,1826911,1887652,1962592,2052589,2153971,2262310,2377432,2500415,2614691,2731082,2868322,3013903
Algeria,DZA,Population growth (annual %),SP.POP.GROW,3.35320501916948,3.38194161321637,3.39768753510501,3.33093272372226,3.02828554053134,2.74710605415951,2.63176506303593,2.4940676377263,2.3846528039865,2.32375186283265,2.24036926865414,2.10774651269655,1.91804419938335,1.76331956063309,1.68115971162844,1.51057323725397,1.39842912410864,1.40229085828763,1.37593080261361,1.34886695233422,1.35423891111813,1.40727321515229,1.36408196251206,1.44113729642515,1.62790867702938,1.70897167476718,1.79590393152832,1.85870199052442,1.89839428094337,1.94310213435967,1.9667158178046,1.97904881035906,1.99994605069585,1.99343168879913,1.95700247075081,1.9033254281097,1.83944488568624,1.73245672803153,1.65770320084269,1.62833925417918,1.55401932380535
Algeria,DZA,"Population, total",SP.POP.TOTL,20682111,21393530,22132905,22882553,23586101,24243018,24889507,25518074,26133905,26748303,27354327,27937006,28478022,28984634,29476031,29924668,30346083,30774621,31200985,31624696,32055883,32510186,32956690,33435080,33983827,34569592,35196037,35856344,36543541,37260563,38000626,38760168,39543154,40339329,41136546,41927007,42705368,43451666,44177969,44903225,45606480
Algeria,DZA,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.230279996991158,0.366400003433228,0.196229994297028,0.163570001721382,0.066040001809597,..,..,..,..,..,..,..,..,..,..,..,0.534319996833801,..,..,..,..,..,..
Algeria,DZA,Scientific and technical journal articles,IP.JRN.ARTC.SC,..,..,..,..,..,..,..,..,..,..,..,..,..,224.92,258.62,300.8,311,381.8,447.43,488.66,624.4,844.82,889.58,1269.15,1385.81,1730.93,2086.28,2073.64,2394.55,2976.28,3369.99,3521.08,4019.83,4458.62,5120.48,5216.34,6058.88,5689.02,..,..,..
Algeria,DZA,Urban population,SP.URB.TOTL,9552860,10071860,10616712,11180415,11727481,12245391,12767819,13291089,13817257,14352337,14891422,15426535,15946838,16455736,16961687,17449972,17939997,18439845,18942742,19449504,19965686,20501248,21036255,21596721,22207751,22849463,23520104,24217375,24935851,25678117,26439316,27217778,28015534,28826081,29639704,30451166,31255632,32038217,32807002,33575039,34327085
Algeria,DZA,Value lost due to electrical outages (% of sales for affected firms),IC.FRM.OUTG.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Belgium,BEL,Gini index,SI.POV.GINI,..,..,25.2,..,..,25.7,..,..,..,25,..,..,28.4,..,26.8,..,..,33.1,..,..,28.1,30.5,29.3,28.1,29.2,28.4,28.6,28.4,28.1,27.5,27.7,28.1,27.7,27.6,27.4,27.2,27.2,26,26.6,..,..
Belgium,BEL,Adolescents out of school (% of lower secondary school age),SE.SEC.UNER.LO.ZS,..,..,..,..,..,..,..,..,..,..,0.38960000872612,0.158409997820854,0.325150012969971,0.383679986000061,..,..,1.09346997737885,0.595879971981049,0.205119997262955,0.222760006785393,0.227850005030632,0.25993999838829,0.324779987335205,0.456299990415573,0.643440008163452,0.822939991950989,1.00817000865936,1.2806099653244,1.90921998023987,1.7358900308609,1.72186005115509,1.61366999149323,1.63335001468658,1.67692005634308,0.891960024833679,0.897210001945496,0.882889986038208,0.963519990444183,1.13171005249023,..,..
Belgium,BEL,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,847,847,847,847,847,847,847,847,847,847,847,847,847,847,847,847,847,847,847,847,847,847,847,847,847,847,847,847,847,847,847,847,847,847,847,847,847,847,..,..,..
Belgium,BEL,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,125.576590944464,127.330165011394,124.101334701475,126.005664754856,115.121171084744,109.647472082346,108.917591351373,108.346201520725,102.199608448661,98.0987970607766,96.7545771933543,89.3755663540236,83.4782314885846,91.3008843889572,95.9430277968126,93.20645439648,95.5707643463826,104.028499314949,101.564361030942,112.304162316943,108.581648555561,110.182122739998,103.864720409449,101.383151729774,103.366617035956,119.269436525922,108.010287582684,94.0394321446935,..
Belgium,BEL,"Compulsory education, duration (years)",SE.COM.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
Belgium,BEL,Control of Corruption: Estimate,CC.EST,..,..,..,..,..,..,..,..,..,..,..,..,..,1.35965430736542,..,1.31323409080505,..,1.44685900211334,..,1.45780158042908,1.37511277198792,1.36038255691528,1.37716245651245,1.30128657817841,1.34741532802582,1.36263751983643,1.45200526714325,1.47382998466492,1.51992893218994,1.55911040306091,1.60430264472961,1.51295030117035,1.47469651699066,1.53148806095123,1.40388441085815,1.42942035198212,1.44899594783783,1.44595634937286,1.45552504062653,1.49504864215851,..
Belgium,BEL,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,5043.97535594266,5285.54376232576,5502.66840922398,5617.41982187269,5876.96299804037,6057.0627320822,6205.76377001633,6380.31321975416,6655.41438110864,6850.66377253598,6881.0721430714,7176.24050686845,7379.73707904784,7527.68854493864,7701.61213093291,7913.05858037159,7944.12980731574,8247.67711254725,8267.18721595245,8311.89267946638,8411.90065701741,8576.22349653402,8509.99707308703,8683.67128500132,8614.67950346801,8521.49673953426,7903.95547887634,8393.94962326946,8028.79873139472,7988.52464388906,7989.67185263518,7709.12307788247,..,..,..,..,..,..,..,..,..
Belgium,BEL,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,32.146368736625,33.7995902402682,26.5415311327965,24.183891289634,24.1628828597558,25.1189166576285,26.3618284312993,28.2464576338701,27.026381591886,25.9403444895673,26.7140492093395,27.4540586759367,26.2215028021111,24.2300833133701,20.911624561719,20.5787389582699,15.0277091380179,19.3662184528771,16.2354677045969,15.6414089623049,13.8916480176159,13.6106599646723,12.2425882929447,10.9261630388391,9.51581208299059,8.65606642499073,6.85588936151259,6.34638133705626,6.11926213854001,6.69558079415837,6.27890560342729,6.1564711476602,6.10801173290389,..,..,..,..,..,..,..,..
Belgium,BEL,Expenditure on primary education (% of government expenditure on education),SE.XPD.PRIM.ZS,..,..,..,..,..,26.60909,..,..,..,..,19.63713,20.98051,20.21047,20.837,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,23.35235,23.1117,23.53562,23.81164,..,..,..,..,..,..,..
Belgium,BEL,Expenditure on secondary education (% of government expenditure on education),SE.XPD.SECO.ZS,..,..,..,49.96591,49.57968,49.80667,..,..,..,..,45.45689,46.5633,45.61383,44.67646,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,42.13146,..,..,..,..,..,..,..,..,..,..
Belgium,BEL,Expenditure on tertiary education (% of government expenditure on education),SE.XPD.TERT.ZS,..,..,..,19.14323,19.06874,19.52517,..,..,..,..,17.38212,20.43844,20.497,21.45639,..,..,..,..,..,..,..,..,21.69712,..,..,21.31581,22.42587,22.16835,21.9973,..,21.84376,22.49618,22.12875,22.2845,..,..,..,..,..,..,..
Belgium,BEL,GDP (constant 2015 US$),NY.GDP.MKTP.KD,242007033807.079,247975853676.465,252071901218.968,256666571621.109,262586995647.719,274989527944.74,284529373856.785,293456205020.658,298835475229.994,303409615205.606,300491199097.648,310187964527.328,317585194591.875,321781927100.664,333989231728.476,340541460104.062,352605970422.851,365711203833.047,369732633305.117,376043542626.992,379946808976.211,393515485920.82,402651880769.961,412928965821.953,428111873071.133,430025228051.015,421335523091.64,433403805754.258,440747893479.883,444005978083.203,446045040873.594,453086009677.5,462335574841.484,468191916732.07,475774660680.469,484305039588.75,495157518025.82,468892019366.054,501376781582.929,516491897594.492,523542297257.968
